#,Category,Career / Job Title,"Hard Skills
(Technical Skills)","Soft Skills
(Personal Skills)","Strengths
(Qualities needed)","Interests & Hobbies
","Experience / Education
"
78,?? Media & Entertainment,Radio Jockey,"Voice modulation, Script writing, Music knowledge, Interview techniques, Audio equipment, Live broadcasting","Communication, Creativity, Quick Thinking, Adaptability","Engaging Voice, Humor, Quick Wit, Warmth","Music, Talking, Entertainment, Current affairs, Comedy","Mass Communication degree or diploma, RJ training programs, Demo tape creation, Radio station internship"
79,?? Media & Entertainment,Actor,"Acting techniques (Stanislavski/Method), Dialogue delivery, Body language, Character analysis, Script reading","Emotional Intelligence, Communication, Discipline, Teamwork","Emotional Range, Physical Expression, Memorization, Courage","Drama, Storytelling, Movies, Mimicry, Stage performance, Reading scripts","Drama school/theatre, Workshops with directors, Auditions, Short film appearances"
80,?? Media & Entertainment,Singer,"Vocal technique, Music theory, Raga knowledge (classical), Recording studio skills, Stage performance, Breath control","Discipline, Communication, Emotional Expression, Persistence","Musical Talent, Emotional Expression, Dedication, Stage Presence","Music, Singing practice, Music events, Various genres listening, Instruments","Vocal training under Guru, Music college (if formal), Performances, Competitions like Sa Re Ga Ma"
81,?? Media & Entertainment,Dancer,"Dance forms (classical/folk/western), Body conditioning, Choreography, Rhythm & music understanding, Stage presence","Discipline, Teamwork, Emotional Expression, Physical Fitness","Physical Grace, Rhythm Sense, Dedication, Expressiveness","Dance, Music, Fitness, Performing, Watching dance shows","Dance academy training, Performances, Competitions (e.g., Dance India Dance), Choreography projects"
82,?? Media & Entertainment,Script Writer,"Story structure, Dialogue writing, Character development, Genre conventions, Screenplay format, Research","Creativity, Observation, Communication, Research Skills","Storytelling Imagination, Empathy, Observation, Persistence","Movies, Reading, Storytelling, Observing people, Drama, Human psychology","Mass Comm / Literature degree, Script workshops, Short film scripts, Writing portfolio"
83,?? Media & Entertainment,Film Director,"Cinematography basics, Screenplay analysis, Production management, Actor direction, Editing understanding, Visual storytelling","Leadership, Creative Vision, Communication, Decision Making","Creative Vision, Leadership, Storytelling, Collaboration","Movies (critically watching), Photography, Literature, Theatre, Visual arts","Film school (FTII/Satyajit Ray) or self-learning, Short film direction, Assistant director experience"
84,?? Media & Entertainment,Cinematographer,"Camera operation, Lighting design, Lens knowledge, Color grading, Shot composition, DIT skills","Creativity, Technical Aptitude, Teamwork, Attention to Detail","Visual Creativity, Technical Precision, Aesthetic Sense","Photography, Movies (visually), Art, Light & shadow, Tech gadgets","Film school or photography background, Camera assistant experience, Short film work, Portfolio"
85,?? Education & Research,Teacher,"Subject expertise, Lesson planning, Classroom management, Assessment design, Basic computer skills, Communication","Patience, Communication, Empathy, Creativity, Adaptability","Love for Teaching, Patience, Inspiring Ability, Dedication","Helping others learn, Subject passion, Reading, Storytelling, Children","B.Ed degree, Subject bachelor's degree, TET/CTET qualification, Teaching practice"
86,?? Education & Research,Professor,"Deep subject expertise, Research methodology, Academic writing, Lecture skills, Curriculum design, Mentoring","Communication, Research Aptitude, Patience, Leadership","Intellectual Curiosity, Deep Knowledge, Inspiring Others, Research Drive","Deep subject interest, Research, Academic writing, Teaching, Debate","PhD in subject, NET/SET qualification, Research publications, University appointment"
87,?? Education & Research,Research Scientist,"Research methodology, Data analysis, Scientific writing, Lab techniques, Statistical tools, Grant writing","Analytical Thinking, Curiosity, Patience, Communication, Integrity","Intellectual Curiosity, Perseverance, Critical Mind, Attention to Detail","Deep subject interest, Experiments, Reading research papers, Problem solving","MSc/M.Tech + PhD, Research publications, Fellowship/grant experience, Lab work"
88,?? Education & Research,Career Counselor,"Career assessment tools, Counseling techniques, Education system knowledge, Job market trends, Communication","Empathy, Communication, Active Listening, Guidance Ability","Empathy, Broad Knowledge, Motivating Others, Non-Judgmental Nature","Helping students, Psychology, Career development, Human potential","Counseling degree/certification, Psychology background, Counseling practice hours"
89,?? Business & Management,Entrepreneur,"Business planning, Financial literacy, Marketing, Sales, Leadership, Product development, Networking","Risk Taking, Leadership, Communication, Resilience, Vision","Innovation, Risk Tolerance, Leadership, Persistence, Vision","Business ideas, Market observation, Problem solving, Innovation, Economics","Any degree (not mandatory), Startup internship/experience, Business competitions, Mentorship"
90,?? Business & Management,Business Analyst,"Requirements gathering, Process mapping, Data analysis, SQL, Excel, Stakeholder management, Documentation","Analytical Thinking, Communication, Problem Solving, Attention to Detail","Analytical Mind, Communication Bridge Building, Process Thinking","Business processes, Data analysis, Problem solving, Systems thinking","BBA/B.Tech + MBA, BA certification (CBAP), Internship, Business analysis projects"
91,?? Business & Management,HR Manager,"Recruitment, Labor Law, Performance management, HRIS systems, Training & development, Compensation design","Empathy, Communication, Leadership, Conflict Resolution, Integrity","People Orientation, Empathy, Fair Judgment, Confidentiality","Human behavior, Psychology, Helping people, Organizational culture","MBA HR / BBA, SHRM certification, HR internship, Labor law knowledge"
92,?? Business & Management,Marketing Specialist,"Market research, Digital marketing, Content strategy, SEO/SEM, Social media, Analytics (Google Analytics), Branding","Creativity, Communication, Analytical Thinking, Adaptability","Creative Thinking, Trend Awareness, Persuasion, Data-Driven Mindset","Social media, Consumer behavior, Trends, Writing, Business","MBA Marketing / BBA, Digital marketing certifications, Campaign portfolio, Internship"
93,?? Business & Management,Project Manager,"Project planning, Risk management, MS Project/Jira, Agile/Scrum, Budgeting, Stakeholder management","Leadership, Communication, Problem Solving, Organization, Adaptability","Organizational Ability, Leadership, Accountability, Systems Thinking","Planning, Organization, Team activities, Problem solving, Leadership","MBA / B.Tech, PMP certification, Agile/Scrum certification, Project experience"
94,?? Business & Management,Product Manager,"Product roadmapping, User research, Data analysis, Agile, Wireframing basics, Prioritization frameworks","Communication, Leadership, Analytical Thinking, Empathy, Decision Making","Vision, Empathy for Users, Cross-functional Thinking, Business Sense","Product usage analysis, User behavior, Business + tech intersection","MBA + tech experience or B.Tech, PM courses, Product strategy practice"
95,?? Finance & Commerce,Chartered Accountant,"Financial Accounting, Taxation (Income Tax/GST), Auditing, Cost Accounting, Financial Reporting, Tally/SAP","Analytical Thinking, Attention to Detail, Integrity, Communication","Numerical Aptitude, Precision, Honesty, Methodical Nature","Accounts, Finance, Tax, Numbers, Business news, Economics","CA Foundation ? Intermediate ? Final (ICAI), 3-year articleship, Passing all 3 levels"
96,?? Finance & Commerce,Investment Banker,"Financial modeling, Valuation techniques, M&A knowledge, Excel, Capital markets, Pitch deck creation","Analytical Thinking, Communication, Networking, High Pressure Work","Numerical Intelligence, Competitive Drive, Resilience, Networking","Finance, Stock markets, Business deals, Economics, Competition","MBA Finance (IIM/top college), CFA certification, Investment banking internship"
97,?? Finance & Commerce,Financial Analyst,"Financial modeling, Ratio analysis, Excel, Bloomberg terminal, Report writing, Valuation, Forecasting","Analytical Thinking, Communication, Attention to Detail, Research","Numerical Aptitude, Analytical Mind, Research Drive","Finance, Economy, Stock markets, Business news, Numbers","BBA/B.Com + MBA Finance, CFA certification, Financial analyst internship"
98,?? Finance & Commerce,Stock Broker,"Stock market knowledge, Technical analysis, Fundamental analysis, SEBI regulations, Trading platforms, Risk management","Analytical Thinking, Decision Making, Communication, Emotional Control","Risk Tolerance, Numerical Aptitude, Cool Under Pressure, Research","Stock markets, Finance news, Economics, Trading, Business","NISM certification (mandatory), SEBI registration, Finance degree, Broking firm experience"
99,?? Law & Administration,Lawyer,"Legal knowledge (IPC/CrPC/CPC/Constitution), Legal drafting, Case research, Courtroom advocacy, Contract law","Communication, Critical Thinking, Persuasion, Attention to Detail, Empathy","Logical Mind, Confidence, Strong Ethics, Memory, Justice Sense","Debate, Current affairs, Reading, Social justice, Arguing logically, History","LLB / BA LLB, Bar Council enrollment, AIBE, Senior advocate internship"
100,?? Law & Administration,Judge,"Deep legal knowledge, Judicial reasoning, Evidence evaluation, Judgment writing, Constitutional interpretation","Impartiality, Analytical Thinking, Communication, Integrity, Patience","Absolute Integrity, Impartiality, Wisdom, Patience, Strong Ethics","Law, Justice, Philosophy, Reading, Social issues, Debate",LLB + 7 years practice ? Judicial Services Exam / Elevated from senior advocate / UPSC
101,?? Law & Administration,Legal Advisor,"Corporate law, Contract drafting, Compliance, Litigation support, Legal research, Risk assessment","Communication, Analytical Thinking, Attention to Detail, Integrity","Trustworthiness, Analytical Mind, Communication, Problem Solving","Business law, Contract analysis, Corporate world, Finance, Risk","LLB, Bar Council, Corporate law experience, Company-specific legal training"
102,?? Law & Administration,Company Secretary,"Company Law (Companies Act), SEBI regulations, Board meeting management, Secretarial audit, Compliance, ROC filings","Attention to Detail, Communication, Integrity, Organization","Precision, Trustworthiness, Organized Nature, Legal Aptitude","Corporate governance, Law, Finance, Business compliance, Organized work","CS Foundation ? Executive ? Professional (ICSI), Training, ACS qualification"
103,?? Agriculture & Environment,Agricultural Officer,"Crop science, Soil science, Agricultural schemes, Extension services, Pest management, Irrigation techniques","Communication, Problem Solving, Empathy, Field Work Ability","Service Mindset, Practical Knowledge, Farmer Empathy, Field Orientation","Farming, Rural life, Nature, Plant science, Social service","BSc Agriculture, State Agriculture department exam (APPSC/TSPSC), Field extension work"
104,?? Agriculture & Environment,Environmental Scientist,"Environmental assessment, GIS, Data analysis, Environmental laws, Field sampling, Report writing","Analytical Thinking, Communication, Problem Solving, Field Work","Environmental Passion, Scientific Mind, Field Adaptability, Ethics","Nature, Ecology, Climate change, Field trips, Science","BSc/MSc Environmental Science, Research internship, Field work experience"
105,?? Agriculture & Environment,Forest Officer,"Forest laws, Wildlife management, Tree identification, GIS/remote sensing, Fire management","Physical Fitness, Leadership, Communication, Environmental Ethics","Nature Love, Physical Fitness, Conservation Ethics, Leadership","Nature, Wildlife, Trekking, Ecology, Conservation","BSc Forestry, State Forest Service Exam (APPSC), Physical fitness, IFS exam for IFS cadre"
106,?? Travel & Hospitality,Pilot,"Aviation principles, Aircraft systems, Navigation, Meteorology, Air traffic communication, Instrument flying","Quick Decision Making, Focus, Teamwork, Communication, Composure","Spatial Intelligence, Quick Reflexes, Composure, Responsibility","Aviation, Aircraft, Physics, Travel, Adventure, Speed","Class 12 (PCM), CPL license (DGCA), Flying hours (200+ for CPL), Medical fitness"
107,?? Travel & Hospitality,Hotel Manager,"Hospitality management, Front office operations, F&B management, Revenue management, Customer service, HR basics","Leadership, Communication, Problem Solving, Customer Focus, Adaptability","Hospitality Mindset, Leadership, Attention to Detail, Cultural Sensitivity","Travel, Food, Hospitality, Cultural exchange, People management","BHM (IHM), Hotel internship, Front-line hospitality experience, Management training"
109,?? Sports & Fitness,Athlete,"Sport-specific technical skills, Physical conditioning, Strength & stamina training, Game strategy, Recovery techniques","Discipline, Teamwork (for team sports), Mental Toughness, Adaptability","Physical Talent, Dedication, Mental Strength, Competitive Drive","Specific sport, Fitness, Competition, Winning, Physical activity","Early training (district/state level), Coach mentorship, Competition exposure, SAI/sports academy"
110,?? Sports & Fitness,Coach,"Sport-specific expertise, Training methodology, Sports psychology basics, Video analysis, Physical conditioning","Leadership, Communication, Empathy, Patience, Motivating Others","Sports Passion, Teaching Ability, Leadership, Patience, Motivator","Specific sport, Fitness, Mentoring, Youth development, Strategy","Sports playing career + coaching certifications (NIS), SAI coaching diploma, Practical coaching experience"
111,?? Sports & Fitness,Fitness Trainer,"Exercise science, Nutrition basics, Training program design, Anatomy, Weight training, First Aid","Motivation, Communication, Empathy, Adaptability","Fitness Passion, Motivating Others, Patience, Physical Fitness","Fitness, Gym, Nutrition, Health, Body transformation, Sports","ACE/NASM certification, Gym assistant experience, Anatomy course, Client training portfolio"
112,?? Emerging Careers,AI Prompt Engineer,"LLM knowledge, Prompt crafting techniques, Python basics, API usage, Testing & evaluation, Technical writing","Creativity, Communication, Analytical Thinking, Attention to Detail","Creative Language Use, Systematic Testing, Curiosity about AI","AI tools (ChatGPT/Claude), Language, Writing, Tech experiments, Problem solving","AI certifications, Personal prompt portfolio, API project practice, Continuous AI tool exploration"
113,?? Emerging Careers,Digital Marketing Specialist,"SEO, SEM (Google Ads), Social media marketing, Content marketing, Email marketing, Analytics (GA4), Meta Ads","Creativity, Analytical Thinking, Communication, Adaptability","Trend Awareness, Creative Data Use, Business Sense, Adaptability","Social media, Business, Writing, Trends, Consumer behavior, Tech","Digital marketing certification (Google/HubSpot), Campaign portfolio, Agency internship"
114,?? Emerging Careers,SEO Specialist,"On-page SEO, Off-page SEO, Technical SEO, Keyword research, Google Search Console, Analytics, Content strategy","Analytical Thinking, Communication, Patience, Attention to Detail","Patient Systematic Work, Analytical Mind, Content Understanding","Search engines, Websites, Writing, Analytics, Business growth","SEO certifications, Website ranking projects, Agency experience, Content portfolio"
115,?? Emerging Careers,Social Media Manager,"Content creation, Platform algorithms (Meta/LinkedIn/Twitter), Community management, Analytics, Campaign management, Design basics","Creativity, Communication, Adaptability, Trend Awareness","Creativity, Trend Sensitivity, Consistent Execution, Brand Voice","Social media, Trends, Content creation, Community, Marketing","Social media portfolio, Digital marketing certification, Brand internship, Content management experience"
116,?? Emerging Careers,AR/VR Developer,"Unity/Unreal, C#/C++, 3D modeling (Blender), Spatial computing, ARKit/ARCore, VR hardware knowledge","Creativity, Problem Solving, Teamwork, Technical Aptitude","Spatial Imagination, Innovation Drive, Technical Creativity","Gaming, VR headsets, 3D design, Sci-fi, Immersive experiences","B.Tech/BCA, AR/VR development courses, Personal project portfolio, Game studio internship"
117,?? Emerging Careers,Drone Operator,"Drone flying skills, Navigation, Camera operation, Flight planning software, DGCA regulations, Basic maintenance","Attention to Detail, Technical Aptitude, Calm Under Pressure, Spatial Awareness","Spatial Coordination, Precision, Calm Nature, Technical Aptitude","Flying, Photography, Technology, Aviation, Outdoor activities","DGCA Remote Pilot License (mandatory), Drone flying practice, Photography/survey project experience"
118,?? Emerging Careers,Sustainability Consultant,"Environmental regulations, Carbon footprint analysis, ESG reporting, Renewable energy basics, Life cycle assessment","Analytical Thinking, Communication, Persuasion, Problem Solving","Environmental Passion, Business Sense, Persuasive Nature, Systematic Thinking","Environment, Climate change, Business sustainability, Economics, Social impact","Environmental Science/MBA, Sustainability certifications (LEED/GRI), NGO or corporate ESG experience"
